Site,Abbrev,Sampling_status,N_specimens,Museum_numbers,Period_CE,Period_category,Map_period,County,Region,Lat_WGS84,Lon_WGS84,Coord_source,Coord_flag,Notes
Staðartunga í Hörgárdal,STH,In new request,2,Þjms. 11716; Þjms. 11435,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.67,-18.46,decimal,,
Glaumbær,GBR,In new request,3,Þjms. 6918; Þjms. 6921; Þjms. 6933,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,,65.750389,-17.416333,corrected DMS,,
Hrafnsstaðir (í Kinn),HRK,In new request,1,15234,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjarsýsla,Norðurland,65.81,-17.57,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Litlu-Núpar,NUA,In new request,1,6948a/b,< 1000,settlement,Settlement (870–1100 CE),S-Þingeyjasýsla,Norðurland,65.95,-17.4,decimal,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Brimnes (Dalvík),DAV,In new request,8,"Þjms. 5846 / Dys II (IceEq3); Þjms. 5856 / Dys XIII (IceEq4), Þjms. 6040; Þjms. 5849",< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.976188,-18.530555,ISN93→WGS84,,
"Kolsholt í Flóa, Villingarholtshreppur",KHF,In new request,1,Þjms. 1958:117,< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,,63.872868,-20.819098,ISN93→WGS84,,
Lækur í Hraungerðishreppi,LKH,In new request,1,1969-154,< 1000,settlement,Settlement (870–1100 CE),Árnessýsla,Suðurland,63.918951,-20.877272,ISN93→WGS84,,
Brandsstaðir í Blöndudal,BRB,In new request,1,1967-81/1996-269,< 1000,settlement,Settlement (870–1100 CE),A-Húnavatnssýsla,,65.392449,-19.784325,ISN93→WGS84,,
Öxnadalsheiði,OXH,In new request,1,1962-209,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.45168,-18.973369,ISN93→WGS84,,
Elivogar/Langholt,EVS,In new request,1,Þjms. 15690,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,Norðurland,65.568522,-19.563526,ISN93→WGS84,,
"Sólheimar, Sæmundarhlíð",SHS,In new request,1,Þjms. 15688,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.597905,-19.585128,ISN93→WGS84,,
Vatnsdalur í Patreksfirði,VDP,In new request,2,1964:136; 1968-510,< 1000,settlement,Settlement (870–1100 CE),Barðastrandasýsla,,65.572386,-24.061639,ISN93→WGS84,,
"Sílastaðir, Glæsibæjarhreppi",SSG,In new request,2,Þjms. 13702; Þjms. 13735,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.721703,-18.189824,ISN93→WGS84,,
"Brimnes, Viðvikurhreppur",BRV,In new request,1,Þjms.6040,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,,65.777175,-19.34862,ISN93→WGS84,,
Grafargerði á Höfðaströnd,GGH,In new request,1,11685-b,< 1000,settlement,Settlement (870–1100 CE),Skagafjarðarsýsla,Norðurland,65.881074,-19.392373,ISN93→WGS84,,Horse mentioned in human sample notes but no corresponding horse entry found in Horses.docx from Joe
Stærri-Árskógur,SAE,In new request,1,Þjms. 7708-1 og 2,< 1000,settlement,Settlement (870–1100 CE),Eyjafjarðarsýsla,Norðurland,65.911438,-18.357794,ISN93→WGS84,,
"Austarihóll, Haganeshreppur",,In new request,1,óskráð hrossabein (box found),< 1000,settlement,Settlement (870–1100 CE),,,65.74,-19.31,decimal,,
Eyvindarveri,,In new request,1,1996-269,1772,post-settlement,Laki era (~1780 CE),,,64.137,-18.718,decimal,,
Galtalækur/Land,,In new request,1,Þjms. 10493,< 1000,settlement,Settlement (870–1100 CE),,,64.0,-19.95,decimal,,
"Grafarbakki, Rangárvallarhreppur",,In new request,2,hrossabein úr tveimur kumlum,< 1000,settlement,Settlement (870–1100 CE),,,64.13425,-20.309083,DMS→WGS84,,
Granastaðir,,In new request,4,2011-49-126 (#8); 2011-49-212 (#4); 2011-49-219 (#2); 2011-49-252 (#9),< 1000,settlement,Settlement (870–1100 CE),,,65.300889,-18.247528,DMS→WGS84,,
Hafurbjarnarstaðir,,In new request,1,Þjms. 571,< 1000,settlement,Settlement (870–1100 CE),,,64.069833,-22.700028,DMS→WGS84,,
Hvalnes,,In new request,1,Þjms. 11726,undated,undated,Undated,,,64.410056,-14.552306,DMS→WGS84,,
Hörgsdalur/Mývatnsheiði,,In new request,1,Þjms. 4992,undated,undated,Undated,,,65.545028,-17.292861,DMS→WGS84,,
Kirkjubæ á Síðu,,In new request,1,Þjms. 13114,< 1000,settlement,Settlement (870–1100 CE),,,63.789,-18.0531,DMS→WGS84,,
Litli-Dunhagi/Hörgárdal,,In new request,1,Þjms. 1963-153,< 1000,settlement,Settlement (870–1100 CE),,,65.755806,-18.276556,DMS→WGS84,,
